Nome,Cognome,ID Dipendente,Reparto,Telefono,Codice Fiscale
Paolo,Rossi,D00001,IT,+39 313 8054663,MVJCHP60Q05N
Helena,Giordano,D00002,Marketing,+39 333 1241471,LBQIAC91M87W
Ugo,Costa,D00003,Marketing,+39 322 4206384,TSOSKT40K35F
Rita,Bianchi,D00004,Logistica,+39 305 8703215,TJQLWS45Y33K
Rita,Giordano,D00005,Risorse Umane,+39 333 1490996,NBFBFJ53I30Q
Emanuele,Gallo,D00006,IT,+39 311 9756786,OESBGC61P85S
Beatrice,Neri,D00007,Risorse Umane,+39 336 6655738,LFQZRZ58W86Q
Walter,Costa,D00008,Marketing,+39 317 7626438,FZMBKR56Y80M
Diana,Rossi,D00009,Vendite,+39 367 9967684,LUCMKM43O43X
Zara,Gialli,D00010,Risorse Umane,+39 335 9264811,IYSLQI56Y73Z
Alessandro,Ferrari,D00011,IT,+39 305 9669174,JMIHKD86A20N
Lara,Romano,D00012,Marketing,+39 379 6727741,NYZUBQ74A83T
Ugo,Greco,D00013,Finanza,+39 320 3602073,DXZPYS55G68L
Teresa,Gallo,D00014,Logistica,+39 373 6924320,KMEDTO85J51T
Federica,Russo,D00015,Finanza,+39 321 3857319,TVUSYY80O11E
Carlo,Greco,D00016,Finanza,+39 305 8122262,XGGWQU57U07Z
Walter,Gallo,D00017,Vendite,+39 323 2182450,CSLZYT88B03G
Walter,Romano,D00018,Logistica,+39 311 5995348,NXCMJU23D03I
Stefano,Costa,D00019,IT,+39 391 4563050,UMQEDL93J97E
Stefano,Gallo,D00020,Finanza,+39 352 1667096,GKVTNG64O17H
Walter,De Luca,D00021,Vendite,+39 376 2657555,JTUFPE02F69B
Lara,Neri,D00022,Vendite,+39 397 5669481,CVSBSU18M20O
Paolo,Costa,D00023,Vendite,+39 364 7543791,FRZTNT05H55F
Quentin,Neri,D00024,Risorse Umane,+39 329 2126130,FCTABJ38Z77F
Quentin,Verdi,D00025,Logistica,+39 313 6826948,QFUECB88P63I
Ugo,Rossi,D00026,Marketing,+39 341 8940322,BCQGZE51K99W
Olivia,Colombo,D00027,Finanza,+39 359 9533431,ZPMSZZ08Y55W
